CDM_ID,CODE_MEDIDA_ID,DESCRICAO,TIPO_CONCLUSAO
4488,104,CLIENTE APRESENTOU FATURA PAGA,R
4516,104,CLIENTE APRESENTOU FATURA PAGA,R
4528,265,NE/PAGAMENTO CARTAO/POS,R
6647,265,NE/PAGAMENTO CARTAO/POS,R
6776,12,05 - GRANDE EVENTO_CLT AUSENTE,R
2243,104,CLIENTE APRESENTOU FATURA PAGA,R
2280,104,CLIENTE APRESENTOU FATURA PAGA,R
4298,104,CLIENTE APRESENTOU FATURA PAGA,R
4321,104,CLIENTE APRESENTOU FATURA PAGA,R
6593,104,CLIENTE APRESENTOU FATURA PAGA,R
6650,265,NE/PAGAMENTO CARTAO/POS,R
6651,265,NE/PAGAMENTO CARTAO/POS,R
6652,265,NE/PAGAMENTO CARTAO/POS,R
6653,265,NE/PAGAMENTO CARTAO/POS,R
6654,265,NE/PAGAMENTO CARTAO/POS,R
6655,265,NE/PAGAMENTO CARTAO/POS,R
6656,265,NE/PAGAMENTO CARTAO/POS,R
3051,12,05 - GRANDE EVENTO_CLT AUSENTE,R
322,19,SEM REDE E INSTALAÇÃO JÁ POSSUI PADRÃO,R
352,19,SEM REDE E INSTALAÇÃO JÁ POSSUI PADRÃO,R
1029,104,CLIENTE APRESENTOU FATURA PAGA,R
1058,104,CLIENTE APRESENTOU FATURA PAGA,R
2054,104,CLIENTE APRESENTOU FATURA PAGA,R
2081,104,CLIENTE APRESENTOU FATURA PAGA,R
2108,104,CLIENTE APRESENTOU FATURA PAGA,R
2135,104,CLIENTE APRESENTOU FATURA PAGA,R
2162,104,CLIENTE APRESENTOU FATURA PAGA,R
2189,104,CLIENTE APRESENTOU FATURA PAGA,R
2216,104,CLIENTE APRESENTOU FATURA PAGA,R
251,24,EXECUTADO VISTORIA COM FINANC. PADRÃO,R
280,24,EXECUTADO VISTORIA COM FINANC. PADRÃO,R
69,19,DÉBITO PAGO,R
94,18,ATIVAR PARA DEFINITIVA,R
525,104,CLIENTE APRESENTOU FATURA PAGA,R
1865,104,CLIENTE APRESENTOU FATURA PAGA,R
1892,104,CLIENTE APRESENTOU FATURA PAGA,R
697,104,CLIENTE APRESENTOU FATURA PAGA,R
1636,104,CLIENTE APRESENTOU FATURA PAGA,R
925,104,CLIENTE APRESENTOU FATURA PAGA,R
1651,104,CLIENTE APRESENTOU FATURA PAGA,R
1657,265,NE/PAGAMENTO CARTAO/POS,R
1730,104,CLIENTE APRESENTOU FATURA PAGA,R
1757,104,CLIENTE APRESENTOU FATURA PAGA,R
1784,104,CLIENTE APRESENTOU FATURA PAGA,R
749,104,CLIENTE APRESENTOU FATURA PAGA,R
1811,104,CLIENTE APRESENTOU FATURA PAGA,R
1838,104,CLIENTE APRESENTOU FATURA PAGA,R
655,104,CLIENTE APRESENTOU FATURA PAGA,R
1919,104,CLIENTE APRESENTOU FATURA PAGA,R
1946,104,CLIENTE APRESENTOU FATURA PAGA,R
407,19,SEM REDE E INSTALAÇÃO JÁ POSSUI PADRÃO,R
435,19,SEM REDE E INSTALAÇÃO JÁ POSSUI PADRÃO,R