OPER_ID,OPER_MNC,IBGE,MNC
558,ABADIA DE GOIAS,5200050,ABADIA DE GOIAS
35,ABADIANIA,5200100,ABADIANIA
244,ACREUNA,5200134,ACREUNA
233,ADELANDIA,5200159,ADELANDIA
414,AGUA FRIA DE GOIAS,5200175,AGUA FRIA DE GOIAS
43,AGUA LIMPA,5200209,AGUA LIMPA
483,AGUAS LINDAS DE GOIAS,5200258,AGUAS LINDAS DE GOIAS
48,ALEXANIA,5200308,ALEXANIA
65,ALOANDIA,5200506,ALOANDIA
964,ALTO HORIZONTE,5200555,ALTO HORIZONTE
387,ALTO PARAISO DE GOIAS,5200605,ALTO PARAISO DE GOIAS
151,ALVORADA DO NORTE,5200803,ALVORADA DO NORTE
359,AMARALINA,5200829,AMARALINA
141,AMERICANO DO BRASIL,5200852,AMERICANO DO BRASIL
124,AMORINOPOLIS,5200902,AMORINOPOLIS
2,ANAPOLIS,5201108,ANAPOLIS
198,ANHANGUERA,5201207,ANHANGUERA
91,ANICUNS,5201306,ANICUNS
20,APARECIDA DE GOIANIA,5201405,APARECIDA DE GOIANIA
365,APARECIDA DO RIO DOCE,5201454,APARECIDA DO RIO DOCE
311,APORE,5201504,APORE
75,ARACU,5201603,ARACU
182,ARAGARCAS,5201702,ARAGARCAS
68,ARAGOIANIA,5201801,ARAGOIANIA
178,ARAGUAPAZ,5202155,ARAGUAPAZ
192,ARENOPOLIS,5202353,ARENOPOLIS
238,ARUANA,5202502,ARUANA
101,AURILANDIA,5202601,AURILANDIA
99,AVELINOPOLIS,5202809,AVELINOPOLIS
399,BALIZA,5203104,BALIZA
115,BARRO ALTO,5203203,BARRO ALTO
24,BELA VISTA DE GOIAS,5203302,BELA VISTA DE GOIAS
188,BOM JARDIM DE GOIAS,5203401,BOM JARDIM DE GOIAS
125,BOM JESUS DE GOIAS,5203500,BOM JESUS DE GOIAS
92,BONFINOPOLIS,5203559,BONFINOPOLIS
435,BONOPOLIS,5203575,BONOPOLIS
38,BRAZABRANTES,5203609,BRAZABRANTES
211,BRITANIA,5203807,BRITANIA
42,BURITI ALEGRE,5203906,BURITI ALEGRE
168,BURITI DE GOIAS,5203939,BURITI DE GOIAS
361,BURITINOPOLIS,5203962,BURITINOPOLIS
86,CABECEIRAS,5204003,CABECEIRAS
109,CACHOEIRA ALTA,5204102,CACHOEIRA ALTA
126,CACHOEIRA DE GOIAS,5204201,CACHOEIRA DE GOIAS
13,CACHOEIRA DOURADA,5204250,CACHOEIRA DOURADA
114,CACU,5204300,CACU
93,CAIAPONIA,5204409,CAIAPONIA
76,CALDAS NOVAS,5204508,CALDAS NOVAS
234,CALDAZINHA,5204557,CALDAZINHA
123,CAMPESTRE DE GOIAS,5204607,CAMPESTRE DE GOIAS
570,CAMPINACU,5204656,CAMPINACU
204,CAMPINORTE,5204706,CAMPINORTE
116,CAMPO ALEGRE DE GOIAS,5204805,CAMPO ALEGRE DE GOIAS
96,CAMPO LIMPO DE GOIAS,5204854,CAMPO LIMPO DE GOIAS
82,CAMPOS BELOS,5204904,CAMPOS BELOS
379,CAMPOS VERDES,5204953,CAMPOS VERDES
9098,CARMO DO RIO VERDE,5205000,CARMO DO RIO VERDE
189,CASTELANDIA,5205059,CASTELANDIA
199,CATALAO,5205109,CATALAO
25,CATURAI,5205208,CATURAI
74,CAVALCANTE,5205307,CAVALCANTE
9013,CERES,5205406,CERES
165,CEZARINA,5205455,CEZARINA
988,CHAPADAO DO CEU,5205471,CHAPADAO DO CEU
268,CIDADE OCIDENTAL,5205497,CIDADE OCIDENTAL
120,COCALZINHO DE GOIAS,5205513,COCALZINHO DE GOIAS
970,COLINAS DO SUL,5205521,COLINAS DO SUL
107,CORREGO DO OURO,5205703,CORREGO DO OURO
26,CORUMBA DE GOIAS,5205802,CORUMBA DE GOIAS
56,CORUMBAIBA,5205901,CORUMBAIBA
106,CRISTALINA,5206206,CRISTALINA
47,CRISTIANOPOLIS,5206305,CRISTIANOPOLIS
249,CRIXAS,5206404,CRIXAS
52,CROMINIA,5206503,CROMINIA
200,CUMARI,5206602,CUMARI
152,DAMIANOPOLIS,5206701,DAMIANOPOLIS
27,DAMOLANDIA,5206800,DAMOLANDIA
295,DAVINOPOLIS,5206909,DAVINOPOLIS
153,DIORAMA,5207105,DIORAMA
9403,DISTRITO FEDERAL,,
257,DIVINOPOLIS DE GOIAS,5208301,DIVINOPOLIS DE GOIAS
422,DOVERLANDIA,5207253,DOVERLANDIA
113,EDEALINA,5207352,EDEALINA
112,EDEIA,5207402,EDEIA
242,ESTRELA DO NORTE,5207501,ESTRELA DO NORTE
258,FAINA,5207535,FAINA
108,FAZENDA NOVA,5207600,FAZENDA NOVA
90,FIRMINOPOLIS,5207808,FIRMINOPOLIS
348,FLORES DE GOIAS,5207907,FLORES DE GOIAS
61,FORMOSA,5208004,FORMOSA
241,FORMOSO,5208103,FORMOSO
382,GAMELEIRA DE GOIAS,5208152,GAMELEIRA DE GOIAS
95,GOIANAPOLIS,5208400,GOIANAPOLIS
201,GOIANDIRA,5208509,GOIANDIRA
55,GOIANESIA,5208608,GOIANESIA
1,GOIANIA,5208707,GOIANIA
39,GOIANIRA,5208806,GOIANIRA
9,GOIAS,5208905,GOIAS
14,GOIATUBA,5209101,GOIATUBA
225,GOUVELANDIA,5209150,GOUVELANDIA
71,GUAPO,5209200,GUAPO
314,GUARAITA,5209291,GUARAITA
158,GUARANI DE GOIAS,5209408,GUARANI DE GOIAS
372,GUARINOS,5209457,GUARINOS
36,HEITORAI,5209606,HEITORAI
18,HIDROLANDIA,5209705,HIDROLANDIA
102,HIDROLINA,5209804,HIDROLINA
155,IACIARA,5209903,IACIARA
281,INACIOLANDIA,5209937,INACIOLANDIA
271,INDIARA,5209952,INDIARA
3,INHUMAS,5210000,INHUMAS
58,IPAMERI,5210109,IPAMERI
597,IPIRANGA DE GOIAS,5210158,IPIRANGA DE GOIAS
73,IPORA,5210208,IPORA
127,ISRAELANDIA,5210307,ISRAELANDIA
5,ITABERAI,5210406,ITABERAI
77,ITAGUARI,5210562,ITAGUARI
23,ITAGUARU,5210604,ITAGUARU
230,ITAJA,5210802,ITAJA
10,ITAPACI,5210901,ITAPACI
142,ITAPIRAPUA,5211008,ITAPIRAPUA
17,ITAPURANGA,5211206,ITAPURANGA
231,ITARUMA,5211305,ITARUMA
11,ITAUCU,5211404,ITAUCU
69,ITUMBIARA,5211503,ITUMBIARA
156,IVOLANDIA,5211602,IVOLANDIA
118,JANDAIA,5211701,JANDAIA
7,JARAGUA,5211800,JARAGUA
29,JATAI,5211909,JATAI
128,JAUPACI,5212006,JAUPACI
196,JESUPOLIS,5212055,JESUPOLIS
57,JOVIANIA,5212105,JOVIANIA
129,JUSSARA,5212204,JUSSARA
390,LAGOA SANTA,5212253,LAGOA SANTA
87,LEOPOLDO DE BULHOES,5212303,LEOPOLDO DE BULHOES
12,LUZIANIA,5212501,LUZIANIA
53,MAIRIPOTABA,5212600,MAIRIPOTABA
157,MAMBAI,5212709,MAMBAI
226,MARA ROSA,5212808,MARA ROSA
97,MARZAGAO,5212907,MARZAGAO
438,MATRINCHA,5212956,MATRINCHA
104,MAURILANDIA,5213004,MAURILANDIA
317,MIMOSO DE GOIAS,5213053,MIMOSO DE GOIAS
402,MINACU,5213087,MINACU
139,MINEIROS,5213103,MINEIROS
145,MOIPORA,5213400,MOIPORA
162,MONTE ALEGRE DE GOIAS,5213509,MONTE ALEGRE DE GOIAS
144,MONTES CLAROS DE GOIAS,5213707,MONTES CLAROS DE GOIAS
284,MONTIVIDIU,5213756,MONTIVIDIU
967,MONTIVIDIU DO NORTE,5213772,MONTIVIDIU DO NORTE
15,MORRINHOS,5213806,MORRINHOS
369,MORRO AGUDO DE GOIAS,5213855,MORRO AGUDO DE GOIAS
131,MOSSAMEDES,5213905,MOSSAMEDES
41,MOZARLANDIA,5214002,MOZARLANDIA
424,MUNDO NOVO,5214051,MUNDO NOVO
240,MUTUNOPOLIS,5214101,MUTUNOPOLIS
44,NAZARIO,5214408,NAZARIO
16,NEROPOLIS,5214507,NEROPOLIS
275,NIQUELANDIA,5214606,NIQUELANDIA
216,NOVA AMERICA,5214705,NOVA AMERICA
222,NOVA AURORA,5214804,NOVA AURORA
857,NOVA CRIXAS,5214838,NOVA CRIXAS
88,NOVA GLORIA,5214861,NOVA GLORIA
783,NOVA IGUACU DE GOIAS,5214879,NOVA IGUACU DE GOIAS
872,NOVA ROMA,5214903,NOVA ROMA
30,NOVA VENEZA,5215009,NOVA VENEZA
146,NOVO BRASIL,5215207,NOVO BRASIL
290,NOVO GAMA,5215231,NOVO GAMA
250,NOVO PLANALTO,5215256,NOVO PLANALTO
206,ORIZONA,5215306,ORIZONA
37,OURO VERDE DE GOIAS,5215405,OURO VERDE DE GOIAS
218,OUVIDOR,5215504,OUVIDOR
276,PADRE BERNARDO,5215603,PADRE BERNARDO
337,PALESTINA DE GOIAS,5215652,PALESTINA DE GOIAS
59,PALMEIRAS DE GOIAS,5215702,PALMEIRAS DE GOIAS
45,PALMELO,5215801,PALMELO
134,PALMINOPOLIS,5215900,PALMINOPOLIS
31,PANAMA,5216007,PANAMA
223,PARANAIGUARA,5216304,PARANAIGUARA
98,PARAUNA,5216403,PARAUNA
237,PEROLANDIA,5216452,PEROLANDIA
32,PETROLINA DE GOIAS,5216809,PETROLINA DE GOIAS
305,PILAR DE GOIAS,5216908,PILAR DE GOIAS
6,PIRACANJUBA,5217104,PIRACANJUBA
193,PIRANHAS,5217203,PIRANHAS
22,PIRENOPOLIS,5217302,PIRENOPOLIS
46,PIRES DO RIO,5217401,PIRES DO RIO
296,PLANALTINA,5217609,PLANALTINA
21,PONTALINA,5217708,PONTALINA
84,PORANGATU,5218003,PORANGATU
247,PORTEIRAO,5218052,PORTEIRAO
147,PORTELANDIA,5218102,PORTELANDIA
148,POSSE,5218300,POSSE
85,PROFESSOR JAMIL,5218391,PROFESSOR JAMIL
8,QUIRINOPOLIS,5218508,QUIRINOPOLIS
608,RIALMA,5218607,RIALMA
538,RIANAPOLIS,5218706,RIANAPOLIS
253,RIO QUENTE,5218789,RIO QUENTE
63,RIO VERDE,5218805,RIO VERDE
78,RUBIATABA,5218904,RUBIATABA
121,SANCLERLANDIA,5219001,SANCLERLANDIA
103,SANTA BARBARA DE GOIAS,5219100,SANTA BARBARA DE GOIAS
357,SANTA CRUZ DE GOIAS,5219209,SANTA CRUZ DE GOIAS
207,SANTA FE DE GOIAS,5219258,SANTA FE DE GOIAS
40,SANTA HELENA DE GOIAS,5219308,SANTA HELENA DE GOIAS
9102,SANTA ISABEL,5219357,SANTA ISABEL
213,SANTA RITA DO ARAGUAIA,5219407,SANTA RITA DO ARAGUAIA
133,SANTA RITA DO NOVO DESTINO,5219456,SANTA RITA DO NOVO DESTINO
54,SANTA ROSA DE GOIAS,5219506,SANTA ROSA DE GOIAS
243,SANTA TEREZA DE GOIAS,5219605,SANTA TEREZA DE GOIAS
248,SANTA TEREZINHA DE GOIAS,5219704,SANTA TEREZINHA DE GOIAS
227,SANTO ANTONIO DA BARRA,5219712,SANTO ANTONIO DA BARRA
136,SANTO ANTONIO DE GOIAS,5219738,SANTO ANTONIO DE GOIAS
221,SANTO ANTONIO DO DESCOBERTO,5219753,SANTO ANTONIO DO DESCOBERTO
868,SAO DOMINGOS,5219803,SAO DOMINGOS
49,SAO FRANCISCO DE GOIAS,5219902,SAO FRANCISCO DE GOIAS
384,SAO JOAO D ALIANCA,5220009,SAO JOAO D'ALIANCA
100,SAO JOAO DA PARAUNA,5220058,SAO JOAO DA PARAUNA
50,SAO LUIS DE MONTES BELOS,5220108,SAO LUIS DE MONTES BELOS
309,SAO LUIZ DO NORTE,5220157,SAO LUIZ DO NORTE
83,SAO MIGUEL DO ARAGUAIA,5220207,SAO MIGUEL DO ARAGUAIA
149,SAO MIGUEL DO PASSA QUATRO,5220264,SAO MIGUEL DO PASSA QUATRO
581,SAO PATRICIO,5220280,SAO PATRICIO
224,SAO SIMAO,5220405,SAO SIMAO
19,SENADOR CANEDO,5220454,SENADOR CANEDO
300,SERRANOPOLIS,5220504,SERRANOPOLIS
66,SILVANIA,5220603,SILVANIA
194,SIMOLANDIA,5220686,SIMOLANDIA
150,SITIO D ABADIA,5220702,SITIO D'ABADIA
34,TAQUARAL DE GOIAS,5221007,TAQUARAL DE GOIAS
265,TERESINA DE GOIAS,5221080,TERESINA DE GOIAS
137,TEREZOPOLIS DE GOIAS,5221197,TEREZOPOLIS DE GOIAS
217,TRES RANCHOS,5221304,TRES RANCHOS
4,TRINDADE,5221403,TRINDADE
256,TROMBAS,5221452,TROMBAS
122,TURVANIA,5221502,TURVANIA
176,TURVELANDIA,5221551,TURVELANDIA
420,UIRAPURU,5221577,UIRAPURU
64,URUACU,5221601,URUACU
517,URUANA,5221700,URUANA
60,URUTAI,5221809,URUTAI
286,VALPARAISO DE GOIAS,5221858,VALPARAISO DE GOIAS
94,VARJAO,5221908,VARJAO
51,VIANOPOLIS,5222005,VIANOPOLIS
197,VICENTINOPOLIS,5222054,VICENTINOPOLIS
288,VILA BOA,5222203,VILA BOA
285,VILA PROPICIO,5222302,VILA PROPICIO
999,CACU,5204300,CACU
995,CARMO DO RIO VERDE,5205000,CARMO DO RIO VERDE
579,CARMO DO RIO VERDE,5205000,CARMO DO RIO VERDE
998,CERES,5205406,CERES
595,CERES,5205406,CERES
993,DISTRITO FEDERAL,,
888,HEITORAI 12,5209606,HEITORAI
996,IPIRANGA DE GOIAS,5210158,IPIRANGA DE GOIAS
992,LAGOA SANTA,5212253,LAGOA SANTA
9999,NÃO IDENTIFICADO,,
0,NAO INFORMADO,,
997,RIALMA,5218607,RIALMA
994,RIANAPOLIS,5218706,RIANAPOLIS
904,SANTA ISABEL,5219357,SANTA ISABEL
989,SANTA ISABEL,5219357,SANTA ISABEL
9404,SANTO ANTONIO DA ESPERANCA,5219712,SANTO ANTONIO DA BARRA
990,SAO PATRICIO,5220280,SAO PATRICIO
991,URUANA,5221700,URUANA
2909307,CORRENTINA,2909307,CORRENTINA
2917359,JABORANDI,2917359,JABORANDI
3100104,ABADIA DOS DOURADOS,3100104,ABADIA DOS DOURADOS
3109303,BURITIS,3100104,BURITIS
3109451,CABECEIRA GRANDE,3109451,CABECEIRA GRANDE
3109808,CACHOEIRA DOURADA,3109808,CACHOEIRA DOURADA
3112604,CAPINÓPOLIS,3112604,CAPINÓPOLIS
3126208,FORMOSO,3126208,FORMOSO
3147006,PARACATU,3147006,PARACATU
3170404,UNAÍ,3170404,UNAÍ
5002902,CASSILÂNDIA,5002902,CASSILÂNDIA
5003256,COSTA RICA,5003256,COSTA RICA
5101001,ARAGUAIANA,5101001,ARAGUAIANA
5103106,COCALINHO,5103106,COCALINHO
5106653,PONTAL DO ARAGUAIA,5106653,PONTAL DO ARAGUAIA
5108204,TORIXORÉU,5108204,TORIXORÉU
1702000,ARAGUAÇU,1702000,ARAGUAÇU
1702406,ARRAIAS,1702406,ARRAIAS
1705557,COMBINADO,1705557,COMBINADO
1711506,JAÚ DO TOCANTINS,1711506,JAÚ DO TOCANTINS
1712157,LAVANDEIRA,1712157,LAVANDEIRA
1715150,NOVO ALEGRE,1715150,NOVO ALEGRE
1715754,PALMEIRÓPOLIS,1715754,PALMEIRÓPOLIS
1716208,PARANÃ,1716208,PARANÃ
1720978,TALISMÃ,1720978,TALISMÃ